N,p,q,type,rad_odd_p,rad_odd_q,conductor_proxy,rho
1024,55,969,Composite,55,969,2840357025,3.140343
1024,56,968,Composite,7,11,5929,1.253357
1024,57,967,Mixed,57,967,3038104161,3.150052
1024,58,966,Composite,29,483,196196049,2.754772
1024,59,965,Mixed,59,965,3241594225,3.159406
1024,60,964,Composite,15,241,13068225,2.363956
1024,61,963,Mixed,61,321,383415561,2.851433
1024,62,962,Composite,31,481,222337921,2.772818
1024,63,961,Composite,21,31,423801,1.869303
1024,64,960,Composite,1,15,225,0.781378
1024,65,959,Composite,65,959,3885652225,3.185551
1024,66,958,Composite,33,479,249861249,2.789655
1024,67,957,Mixed,67,957,4111246161,3.193693
1024,68,956,Composite,17,239,16507969,2.397666
1024,69,955,Composite,69,955,4342151025,3.201576
1024,70,954,Composite,35,159,30969225,2.488433
1024,71,953,Goldbach,71,953,4578281569,3.209216
1024,72,952,Composite,3,119,127449,1.695956
1024,73,951,Mixed,73,951,4819552929,3.216625
1024,74,950,Composite,37,95,12355225,2.355862
1024,75,949,Composite,15,949,202635225,2.759431
1024,76,948,Composite,19,237,20277009,2.427334
1024,77,947,Mixed,77,947,5317180561,3.230801
1024,78,946,Composite,39,473,340291809,2.83422
1024,79,945,Mixed,79,105,68807025,2.603605
1024,80,944,Composite,5,59,87025,1.640914
1024,81,943,Composite,3,943,8003241,2.293215
1024,82,942,Composite,41,471,372914721,2.847427
1024,83,941,Goldbach,83,941,6100078609,3.250618
1024,84,940,Composite,21,235,24354225,2.453767
1024,85,939,Composite,85,939,6370434225,3.256874
1024,86,938,Composite,43,469,406707889,2.859942
1024,87,937,Mixed,87,937,6645347361,3.26297
1024,88,936,Composite,11,39,184041,1.748967
1024,89,935,Mixed,89,935,6924736225,3.268911
1024,90,934,Composite,15,467,49070025,2.554834
1024,91,933,Composite,91,933,7208519409,3.274706
1024,92,932,Composite,23,233,28718881,2.47755
1024,93,931,Composite,93,133,152992161,2.718888
1024,94,930,Composite,47,465,477641025,2.883135
1024,95,929,Mixed,95,929,7788945025,3.285878
1024,96,928,Composite,3,29,7569,1.288589
1024,97,927,Mixed,97,309,898380729,2.974275
1024,98,926,Composite,7,463,10504081,2.332445
1024,99,925,Composite,33,185,37271025,2.515155
1024,100,924,Composite,5,231,1334025,2.034735
1024,101,923,Mixed,101,923,8690527729,3.30168
1024,102,922,Composite,51,461,552767121,2.90421
1024,103,921,Mixed,103,921,8998988769,3.306712
1024,104,920,Composite,13,115,2235025,2.109186
1024,105,919,Mixed,105,919,9311285025,3.311633
1024,106,918,Composite,53,51,7306209,2.280069
1024,107,917,Mixed,107,917,9627338161,3.316449
1024,108,916,Composite,3,229,471969,1.884833
1024,109,915,Mixed,109,915,9947070225,3.321162
1024,110,914,Composite,55,457,631768225,2.923482
1024,111,913,Composite,111,913,10270403649,3.325777
1024,112,912,Composite,7,57,159201,1.728049
1024,113,911,Goldbach,113,911,10597261249,3.330297
1024,114,910,Composite,57,455,672624225,2.932523
1024,115,909,Composite,115,303,1214174025,3.017733
1024,116,908,Composite,29,227,43335889,2.536906
1024,117,907,Mixed,39,907,1251249129,3.022072
1024,118,906,Composite,59,453,714332529,2.941202
1024,119,905,Composite,119,905,11598213025,3.343318
1024,120,904,Composite,15,113,2873025,2.145414
1024,121,903,Composite,11,903,98664489,2.655603
1024,122,902,Composite,61,451,756855121,2.949544
1024,123,901,Composite,123,901,12281737329,3.35158
1024,124,900,Composite,31,15,216225,1.772217
1024,125,899,Composite,5,899,20205025,2.426821
1024,126,898,Composite,21,449,88906041,2.640578
1024,127,897,Mixed,127,897,12977538561,3.35953
1024,128,896,Composite,1,7,49,0.561471
1024,129,895,Composite,129,895,13329857025,3.363394
1024,130,894,Composite,65,447,844193025,2.9653
1024,131,893,Mixed,131,893,13685022289,3.367188
1024,132,892,Composite,33,223,54154881,2.569059
1024,133,891,Composite,133,33,19263321,2.419935
1024,134,890,Composite,67,445,888934225,2.97275
1024,135,889,Composite,15,889,177822225,2.740586
1024,136,888,Composite,17,111,3560769,2.176376
1024,137,887,Goldbach,137,887,14766867361,3.378164
1024,138,886,Composite,69,443,934341489,2.979937
1024,139,885,Mixed,139,885,15132690225,3.381695
1024,140,884,Composite,35,221,59830225,2.583437
1024,141,883,Mixed,141,883,15500997009,3.385164
1024,142,882,Composite,71,21,2223081,2.108413
1024,143,881,Mixed,143,881,15871716289,3.388574
1024,144,880,Composite,3,55,27225,1.473264
1024,145,879,Composite,145,879,16244777025,3.391926
